Year,Number,Street,Address-formula,ADDRESS,City,State
1988,222,Willard Street,222 Willard Street,222 Willard Street,Lexington,KY
1989,234,Willard Street,234 Willard Street,234 Willard Street,Lexington,KY
1989,228,Willard Street,228 Willard Street,228 Willard Street,Lexington,KY
1989,1005,Valley Avenue,1005 Valley Avenue,1005 Valley Avenue,Lexington,KY
1989,241,Perry Street,241 Perry Street,241 Perry Street,Lexington,KY
1990,510,Pemberton Avenue,510 Pemberton Avenue,510 Pemberton Avenue,Lexington,KY
1990,847,Whitney Avenue,847 Whitney Avenue,847 Whitney Avenue,Lexington,KY
1990,961,Detroit Avenue,961 Detroit Avenue,961 Detroit Avenue,Lexington,KY
1990,175,Montmullin Street,175 Montmullin Street,175 Montmullin Street,Lexington,KY
1991,425,Hawkins Avenue,425 Hawkins Avenue,425 Hawkins Avenue,Lexington,KY
1991,1001,Valley Avenue,1001 Valley Avenue,1001 Valley Avenue,Lexington,KY
1991,135,Alabama Avenue,135 Alabama Avenue,135 Alabama Avenue,Lexington,KY
1991,300,West 5th Street,300 West 5th Street,300 West 5th Street,Lexington,KY
1991,450,Kenton Street,450 Kenton Street,450 Kenton Street,Lexington,KY
1991,427,Hawkins Avenue,427 Hawkins Avenue,427 Hawkins Avenue,Lexington,KY
1991,455,Campbell Street,455 Campbell Street,455 Campbell Street,Lexington,KY
1991,439,Race Street,439 Race Street,439 Race Street,Lexington,KY
1991,429,Conley Street,429 Conley Street,429 Conley Street,Lexington,KY
1991,423,Hawkins Avenue,423 Hawkins Avenue,423 Hawkins Avenue,Lexington,KY
1991,438,Hawkins Avenue,438 Hawkins Avenue,438 Hawkins Avenue,Lexington,KY
1991,330,Corral Street,330 Corral Street,330 Corral Street,Lexington,KY
1991,223,Eastern Avenue,223 Eastern Avenue,223 Eastern Avenue,Lexington,KY
1991,257,Willard Street,257 Willard Street,257 Willard Street,Lexington,KY
1991,416,Hawkins Avenue,416 Hawkins Avenue,416 Hawkins Avenue,Lexington,KY
1991,456,Hawkins Avenue,456 Hawkins Avenue,456 Hawkins Avenue,Lexington,KY
1991,428,Hawkins Avenue,428 Hawkins Avenue,428 Hawkins Avenue,Lexington,KY
1991,459,Campbell Street,459 Campbell Street,459 Campbell Street,Lexington,KY
1991,457,Campbell Street,457 Campbell Street,457 Campbell Street,Lexington,KY
1991,225,Eastern Avenue,225 Eastern Avenue,225 Eastern Avenue,Lexington,KY
1992,1725,Gerald Drive,1725 Gerald Drive,1725 Gerald Drive,Lexington,KY
